Ruta_ID,Continente,Pais,Nombre_Ruta,Punto_1,Punto_2,Punto_3,Punto_4,Punto_5
R001,Europa,Francia,Ruta Parisina,Museo del Louvre,Jardín de las Tullerías,Torre Eiffel,Arco del Triunfo,Montmartre
R002,Europa,Francia,Ruta Montmartre,Basílica del Sagrado Corazón,Place du Tertre,Museo de Montmartre,Rue Lepic,Mur des Je
R003,Europa,Francia,Ruta del Marais,Place des Vosges - 75004 Paris,Museo Carnavalet,Museo Picasso,Rue des Rosiers,Marché des Enfants Rouges
R004,Europa,España,Ruta Catalana,Sagrada Familia,Parque Güell,Casa Batlló,Universitat de Barcelona,Palau de la Música Catalana
R005,Europa,España,Ruta Andaluza,Parque Miraflores Sevilla,Estadio RAMON SANCHEZ PIZJUAN,Alcázar de Sevilla,Plaza de España Sevilla,Giralda Sur Sevilla
R006,Europa,España,Ruta Madrileña,Puerta del Sol,Plaza Mayor,Museo del Prado,Plaza de la Armería,Gran Vía
R007,Europa,España,Ruta Valenciana,Ciudad de las Artes y las Ciencias valencia,Oceanogràfic,Catedral de Valencia,Mercado Central,Torres de Serranos
R008,Europa,Italia,Ruta Romana,Coliseo,Foro Romano,Panteón,Fontana di Trevi,Plaza Navona
R009,Europa,Italia,Ruta Veneciana,Piazzale Roma,Piazzale Roma Sant'Andrea "B",Università IUAV di Venezia,Marittima (cruise terminal),Tronchetto
R010,Europa,Alemania,Ruta Bávara,Neuschwansteinpl,Marienplatz,Residenz de Múnich,Oktoberfest München,Englischer Garten
R011,Europa,Alemania,Ruta Berlín,Puerta de Brandeburgo,Berliner Mauerweg,Catedral de Berlín,Torre de Televisión de Berlín,Alexanderplatz
R012,Europa,Reino Unido,Ruta de Oxford,Universidad de Oxford,Bodleian Library,Christ Church Meadow,Oxford Oak Camping,Museo Ashmolean
R013,Europa,Portugal,Ruta Lisboeta,Torre de Belém,Monasterio de los Jerónimos,Castillo de San Jorge,Alfama,Tapada das Necessidades
R014,Europa,Bélgica,Ruta Cultural,Atomium,Grand Place,Manneken Pis,Catedral de San Miguel,Groenerei 16 A 8000 Brugge
R015,Europa,Suiza,Ruta Alpina,BärenPark, Zytglogge, Bundeshaus, Berner Münster, Bernisches Historisches Museum
R016,Asia,Japón,Ruta de Kioto,Templo Kinkaku-ji,Fushimi Inari,Sagaogurayama Tabuchiyamacho,Castillo Nijo,Templo Ginkaku-ji
R017,Asia,Japón,Ruta de Tokio,Templo Senso-ji,Shibuya Scramble Crossing,Torre de Tokio,Parque Ueno,Jardín Shinjuku Gyoen
R018,Asia,Corea del Sur,Ruta de Busan,Playa Haeundae,Templo Haedong Yonggungsa,BIFF Square,Busan Tower,Yongdusan busan
R019,Asia,India,Ruta del Norte,Sri Harmandir Sahib,McLeod Ganj,Hawa Mahal,Chandni Chowk,Fuerte Rojo
R020,Asia,Tailandia,Ruta de Bangkok,Gran Palacio,Templo del Buda Esmeralda,Templo Wat Arun,Mercado Flotante,Jim Thompson House
R021,Asia,Turquía,Ruta de Estambul,Santa Sofía,Mezquita Azul,Gran Bazar,Palacio Topkapi,Cisterna Basílica
R022,América del Sur,Perú,Ruta Costera Limeña,Parque de las Leyendas,Mall del Sur San Juan Miraflores,Larcomar,Parque Kennedy,Pantanos de Villa
